name,category,sku,sale_price,cost_price,stock_qty,reorder_level,image_url,tags,legacy_id
Soda 300ml,CoTR Bar,COT-SOD300-0000,50.0,0.0,0.0,5.0,,,22246
4th Street Sweet Red Wine (Glass),CoTR Bar,COT-4THSTR-0001,250.0,180.0,16.0,10.0,,red wine,22740
4th Street Sweet Red Wine 750ml,CoTR Bar,COT-4THSTR-0002,1500.0,991.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/download-4.webp,red wine,22741
4th Street Sweet White Wine 750ml,CoTR Bar,COT-4THSTR-0003,1500.0,991.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/OIP.webp,white wine,22742
4th Street Sweet White Wine Glass,CoTR Bar,COT-4THSTR-0004,250.0,180.0,0.0,10.0,,white wine,22743
Amarula 375ml,CoTR Bar,COT-AMA375-0005,1500.0,1170.0,1.0,3.0,,,22744
Amarula 750ml,CoTR Bar,COT-AMA750-0006,2500.0,2120.0,0.0,2.0,,,22745
Balozi Lager 500ml,CoTR Bar,COT-BALLAG-0007,300.0,169.0,29.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Balozi-Lager-500ml.jpg,beer,22746
Balozi Lager Can 500ml,CoTR Bar,COT-BALLAG-0008,350.0,199.0,8.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Balozi-Can.webp,beer can,22747
Beef 1/2kg,CoTR Kitchen,COT-BEE12K-0009,650.0,400.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/BEEF.jpeg,main dish,22748
Beef 1kg,CoTR Kitchen,COT-BEE1KG-0010,1200.0,800.0,4.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/BEEF.jpeg,main dish,22750
Bhajia,CoTR Kitchen,COT-BHA-0011,100.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Bhajia.jpg,side dish,22752
Black & White 700ml,CoTR Bar,COT-BLA&WH-0012,1800.0,1200.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/OIP-4.webp,whiskey,22753
Black & White Whisky 375ml,CoTR Bar,COT-BLA&WH-0013,950.0,0.0,-1.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Black-White-Scotch-375ml.webp,whiskey,22754
Black Coffee Cup,CoTR Kitchen,COT-BLACOF-0014,50.0,20.0,0.0,5.0,"https://pos.cotr.co.ke/wp-content/uploads/2025/06/coffee.webp, https://pos.cotr.co.ke/wp-content/uploads/2025/06/coffee.webp",beverage,22755
Black label tots,CoTR Bar,COT-BLALAB-0015,250.0,0.0,1.5,1.0,,,22757
Black Tea Cup,CoTR Kitchen,COT-BLATEA-0016,50.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Tea-pexels-scaled-1.jpg,beverage,22758
Boiled Egg,CoTR Kitchen,COT-BOIEGG-0017,30.0,20.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Boiled-Egg.jpg,snack,22760
Bread,CoTR Kitchen,COT-BRE-0018,100.0,0.0,0.0,5.0,,,22761
Broiler Chicken (Full),CoTR Kitchen,COT-BROCHI-0019,1000.0,0.0,0.75,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/th.webp,main dish,22763
Broiler Chicken (Half),CoTR Kitchen,COT-BROCHI-0020,550.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Half.jpg,main dish,22765
